Token,PrevPrevToken,PrevToken,NextToken,NextNextToken,IsNumeric,Label
113500,<YOK>,<YOK>,TL,geliri,True,GELIR
TL,<YOK>,113500,geliri,var,False,DIGER
geliri,113500,TL,var,giderim,False,DIGER
giderim,geliri,var,ise,34500,False,DIGER
ise,var,giderim,34500,$,False,DIGER
34500,giderim,ise,$,ama,True,GIDER
$,ise,34500,ama,talep,False,DIGER
ama,34500,$,talep,ettiğim,False,DIGER
talep,$,ama,ettiğim,tutar,False,DIGER
ettiğim,ama,talep,tutar,195500,False,DIGER
tutar,talep,ettiğim,195500,$,False,DIGER
195500,ettiğim,tutar,$,<YOK>,True,TUTAR
$,tutar,195500,<YOK>,<YOK>,False,DIGER
ettiğim,<YOK>,Talep,tutar,481500,False,DIGER
tutar,Talep,ettiğim,481500,euro,False,DIGER
481500,ettiğim,tutar,euro,giderim,True,TUTAR
euro,tutar,481500,giderim,ise,False,DIGER
giderim,481500,euro,ise,18000,False,DIGER
ise,euro,giderim,18000,TL,False,DIGER
18000,giderim,ise,TL,aylık,True,GIDER
TL,ise,18000,aylık,gelirim,False,DIGER
aylık,18000,TL,gelirim,yaklaşık,False,DIGER
gelirim,TL,aylık,yaklaşık,141500,False,DIGER
yaklaşık,aylık,gelirim,141500,TL,False,DIGER
141500,gelirim,yaklaşık,TL,vade,True,GELIR
TL,yaklaşık,141500,vade,olarak,False,DIGER
vade,141500,TL,olarak,39,False,DIGER
olarak,TL,vade,39,ay,False,DIGER
39,vade,olarak,ay,düşünüyorum,True,VADE
ay,olarak,39,düşünüyorum,<YOK>,False,DIGER
düşünüyorum,39,ay,<YOK>,<YOK>,False,DIGER
50,<YOK>,<YOK>,ay,içinde,True,VADE
ay,<YOK>,50,içinde,ödemek,False,DIGER
içinde,50,ay,ödemek,istiyorum,False,DIGER
ödemek,ay,içinde,istiyorum,giderlerim,False,DIGER
istiyorum,içinde,ödemek,giderlerim,yaklaşık,False,DIGER
giderlerim,ödemek,istiyorum,yaklaşık,26500,False,DIGER
yaklaşık,istiyorum,giderlerim,26500,$,False,DIGER
26500,giderlerim,yaklaşık,$,ama,True,GIDER
$,yaklaşık,26500,ama,121500,False,DIGER
ama,26500,$,121500,dolar,False,DIGER
121500,$,ama,dolar,maaş,True,GELIR
dolar,ama,121500,maaş,alıyorum,False,DIGER
maaş,121500,dolar,alıyorum,<YOK>,False,DIGER
7,<YOK>,<YOK>,aylık,ve,True,VADE
aylık,<YOK>,7,ve,ortalama,False,DIGER
ve,7,aylık,ortalama,13000,False,DIGER
ortalama,aylık,ve,13000,$,False,DIGER
13000,ve,ortalama,$,kazanç,True,GELIR
$,ortalama,13000,kazanç,sağlıyorum,False,DIGER
kazanç,13000,$,sağlıyorum,ama,False,DIGER
sağlıyorum,$,kazanç,ama,559000,False,DIGER
ama,kazanç,sağlıyorum,559000,USD,False,DIGER
559000,sağlıyorum,ama,USD,ihtiyaç,True,TUTAR
USD,ama,559000,ihtiyaç,kredisi,False,DIGER
ihtiyaç,559000,USD,kredisi,istiyorum,False,DIGER
203500,<YOK>,<YOK>,TL,taşıt,True,TUTAR
TL,<YOK>,203500,taşıt,kredisi,False,DIGER
taşıt,203500,TL,kredisi,kullanmak,False,DIGER
istiyorum,kredisi,kullanmak,ama,23,False,DIGER
ama,kullanmak,istiyorum,23,ay,False,DIGER
23,istiyorum,ama,ay,vade,True,VADE
ay,ama,23,vade,düşünüyorum,False,DIGER
vade,23,ay,düşünüyorum,aylık,False,DIGER
düşünüyorum,ay,vade,aylık,41500,False,DIGER
aylık,vade,düşünüyorum,41500,TL,False,DIGER
41500,düşünüyorum,aylık,TL,kazanıyorum,True,GELIR
TL,aylık,41500,kazanıyorum,ve,False,DIGER
kazanıyorum,41500,TL,ve,giderim,False,DIGER
ve,TL,kazanıyorum,giderim,ise,False,DIGER
giderim,kazanıyorum,ve,ise,76500,False,DIGER
ise,ve,giderim,76500,dolar,False,DIGER
76500,giderim,ise,dolar,<YOK>,True,GIDER
dolar,ise,76500,<YOK>,<YOK>,False,DIGER
Yaklaşık,<YOK>,<YOK>,328000,euro,False,DIGER
328000,<YOK>,Yaklaşık,euro,bir,True,TUTAR
euro,Yaklaşık,328000,bir,kredi,False,DIGER
bir,328000,euro,kredi,istiyorum,False,DIGER
istiyorum,bir,kredi,ve,45,False,DIGER
ve,kredi,istiyorum,45,ay,False,DIGER
45,istiyorum,ve,ay,vadeyle,True,VADE
ay,ve,45,vadeyle,maaşım,False,DIGER
vadeyle,45,ay,maaşım,86500,False,DIGER
maaşım,ay,vadeyle,86500,TL,False,DIGER
86500,vadeyle,maaşım,TL,düzenli,True,GELIR
TL,maaşım,86500,düzenli,giderim,False,DIGER
düzenli,86500,TL,giderim,73000,False,DIGER
giderim,TL,düzenli,73000,€,False,DIGER
73000,düzenli,giderim,€,<YOK>,True,GIDER
€,giderim,73000,<YOK>,<YOK>,False,DIGER
Ayda,<YOK>,<YOK>,71500,euro,False,DIGER
71500,<YOK>,Ayda,euro,harcıyorum,True,GIDER
euro,Ayda,71500,harcıyorum,ve,False,DIGER
harcıyorum,71500,euro,ve,61500,False,DIGER
ve,euro,harcıyorum,61500,TL,False,DIGER
61500,harcıyorum,ve,TL,ihtiyaç,True,TUTAR
TL,ve,61500,ihtiyaç,kredisi,False,DIGER
ihtiyaç,61500,TL,kredisi,istiyorum,False,DIGER
86500,<YOK>,<YOK>,TL,geliri,True,GELIR
TL,<YOK>,86500,geliri,var,False,DIGER
geliri,86500,TL,var,ve,False,DIGER
var,TL,geliri,ve,vade,False,DIGER
ve,geliri,var,vade,olarak,False,DIGER
vade,var,ve,olarak,38,False,DIGER
olarak,ve,vade,38,ay,False,DIGER
38,vade,olarak,ay,düşünüyorum,True,VADE
ay,olarak,38,düşünüyorum,<YOK>,False,DIGER
düşünüyorum,38,ay,<YOK>,<YOK>,False,DIGER
Harcamalarım,<YOK>,<YOK>,19500,$,False,DIGER
19500,<YOK>,Harcamalarım,$,yaklaşık,True,GIDER
$,Harcamalarım,19500,yaklaşık,282000,False,DIGER
yaklaşık,19500,$,282000,dolar,False,DIGER
282000,$,yaklaşık,dolar,bir,True,TUTAR
dolar,yaklaşık,282000,bir,kredi,False,DIGER
bir,282000,dolar,kredi,istiyorum,False,DIGER
Ortalama,<YOK>,<YOK>,127500,TL,False,DIGER
127500,<YOK>,Ortalama,TL,kazanç,True,GELIR
TL,Ortalama,127500,kazanç,sağlıyorum,False,DIGER
kazanç,127500,TL,sağlıyorum,30,False,DIGER
sağlıyorum,TL,kazanç,30,ay,False,DIGER
30,kazanç,sağlıyorum,ay,içinde,True,VADE
ay,sağlıyorum,30,içinde,ödemek,False,DIGER
ve,ödemek,istiyorum,aylık,masraflarım,False,DIGER
aylık,istiyorum,ve,masraflarım,29500,False,DIGER
masraflarım,ve,aylık,29500,TL,False,DIGER
29500,aylık,masraflarım,TL,<YOK>,True,GIDER
TL,masraflarım,29500,<YOK>,<YOK>,False,DIGER
26,<YOK>,<YOK>,ay,içinde,True,VADE
ay,<YOK>,26,içinde,ödemek,False,DIGER
içinde,26,ay,ödemek,istiyorum,False,DIGER
istiyorum,içinde,ödemek,ve,175500,False,DIGER
ve,ödemek,istiyorum,175500,euro,False,DIGER
175500,istiyorum,ve,euro,kredi,True,TUTAR
euro,ve,175500,kredi,kullanmak,False,DIGER
kredi,175500,euro,kullanmak,istiyorum,False,DIGER
istiyorum,kredi,kullanmak,ama,giderim,False,DIGER
ama,kullanmak,istiyorum,giderim,civarında,False,DIGER
giderim,istiyorum,ama,civarında,6000,False,DIGER
civarında,ama,giderim,6000,TL,False,DIGER
6000,giderim,civarında,TL,elime,True,GIDER
TL,civarında,6000,elime,40500,False,DIGER
elime,6000,TL,40500,USD,False,DIGER
40500,TL,elime,USD,geçiyor,True,GELIR
USD,elime,40500,geçiyor,<YOK>,False,DIGER
geçiyor,40500,USD,<YOK>,<YOK>,False,DIGER
360000,<YOK>,<YOK>,TL,ihtiyaç,True,TUTAR
TL,<YOK>,360000,ihtiyaç,kredisi,False,DIGER
ihtiyaç,360000,TL,kredisi,istiyorum,False,DIGER
kredisi,TL,ihtiyaç,istiyorum,52,False,DIGER
istiyorum,ihtiyaç,kredisi,52,aylık,False,DIGER
52,kredisi,istiyorum,aylık,<YOK>,True,VADE
aylık,istiyorum,52,<YOK>,<YOK>,False,DIGER
Harcamalarım,<YOK>,<YOK>,4000,TL,False,DIGER
4000,<YOK>,Harcamalarım,TL,ama,True,GIDER
TL,Harcamalarım,4000,ama,412000,False,DIGER
ama,4000,TL,412000,TL,False,DIGER
412000,TL,ama,TL,konut,True,TUTAR
TL,ama,412000,konut,kredisi,False,DIGER
konut,412000,TL,kredisi,istiyorum,False,DIGER
kredisi,TL,konut,istiyorum,146000,False,DIGER
istiyorum,konut,kredisi,146000,dolar,False,DIGER
146000,kredisi,istiyorum,dolar,geliri,True,GELIR
dolar,istiyorum,146000,geliri,var,False,DIGER
geliri,146000,dolar,var,<YOK>,False,DIGER
Aylık,<YOK>,<YOK>,masraflarım,48500,False,DIGER
masraflarım,<YOK>,Aylık,48500,dolar,False,DIGER
48500,Aylık,masraflarım,dolar,vade,True,GIDER
dolar,masraflarım,48500,vade,olarak,False,DIGER
vade,48500,dolar,olarak,9,False,DIGER
olarak,dolar,vade,9,ay,False,DIGER
ay,olarak,9,düşünüyorum,91000,False,DIGER
düşünüyorum,9,ay,91000,$,False,DIGER
91000,ay,düşünüyorum,$,geliri,True,GELIR
$,düşünüyorum,91000,geliri,var,False,DIGER
geliri,91000,$,var,<YOK>,False,DIGER
Yaklaşık,<YOK>,<YOK>,593000,$,False,DIGER
593000,<YOK>,Yaklaşık,$,bir,True,TUTAR
$,Yaklaşık,593000,bir,kredi,False,DIGER
bir,593000,$,kredi,istiyorum,False,DIGER
istiyorum,bir,kredi,ama,vade,False,DIGER
ama,kredi,istiyorum,vade,olarak,False,DIGER
vade,istiyorum,ama,olarak,11,False,DIGER
olarak,ama,vade,11,ay,False,DIGER
11,vade,olarak,ay,düşünüyorum,True,VADE
ay,olarak,11,düşünüyorum,<YOK>,False,DIGER
düşünüyorum,11,ay,<YOK>,<YOK>,False,DIGER
Düzenli,<YOK>,<YOK>,giderim,19500,False,DIGER
giderim,<YOK>,Düzenli,19500,TL,False,DIGER
19500,Düzenli,giderim,TL,ama,True,GIDER
TL,giderim,19500,ama,talep,False,DIGER
ama,19500,TL,talep,ettiğim,False,DIGER
talep,TL,ama,ettiğim,tutar,False,DIGER
ettiğim,ama,talep,tutar,70000,False,DIGER
tutar,talep,ettiğim,70000,euro,False,DIGER
70000,ettiğim,tutar,euro,ve,True,TUTAR
euro,tutar,70000,ve,117500,False,DIGER
ve,70000,euro,117500,€,False,DIGER
117500,euro,ve,€,maaş,True,GELIR
€,ve,117500,maaş,alıyorum,False,DIGER
maaş,117500,€,alıyorum,<YOK>,False,DIGER
54,<YOK>,<YOK>,aylık,ama,True,VADE
aylık,<YOK>,54,ama,gelirim,False,DIGER
ama,54,aylık,gelirim,ise,False,DIGER
gelirim,aylık,ama,ise,83000,False,DIGER
ise,ama,gelirim,83000,dolar,False,DIGER
83000,gelirim,ise,dolar,<YOK>,True,GELIR
dolar,ise,83000,<YOK>,<YOK>,False,DIGER
ettiğim,<YOK>,Talep,tutar,106000,False,DIGER
tutar,Talep,ettiğim,106000,dolar,False,DIGER
106000,ettiğim,tutar,dolar,ama,True,TUTAR
dolar,tutar,106000,ama,ayda,False,DIGER
ama,106000,dolar,ayda,14500,False,DIGER
ayda,dolar,ama,14500,TL,False,DIGER
14500,ama,ayda,TL,harcıyorum,True,GIDER
TL,ayda,14500,harcıyorum,18,False,DIGER
harcıyorum,14500,TL,18,ay,False,DIGER
18,TL,harcıyorum,ay,içinde,True,VADE
ay,harcıyorum,18,içinde,ödemek,False,DIGER
yaklaşık,<YOK>,Giderlerim,10500,TL,False,DIGER
10500,Giderlerim,yaklaşık,TL,gelirim,True,GIDER
TL,yaklaşık,10500,gelirim,ise,False,DIGER
gelirim,10500,TL,ise,137000,False,DIGER
ise,TL,gelirim,137000,TL,False,DIGER
137000,gelirim,ise,TL,<YOK>,True,GELIR
TL,ise,137000,<YOK>,<YOK>,False,DIGER
34,<YOK>,<YOK>,ay,vadeyle,True,VADE
ay,<YOK>,34,vadeyle,29500,False,DIGER
vadeyle,34,ay,29500,TL,False,DIGER
29500,ay,vadeyle,TL,kredi,True,TUTAR
TL,vadeyle,29500,kredi,kullanmak,False,DIGER
kredi,29500,TL,kullanmak,istiyorum,False,DIGER
istiyorum,kredi,kullanmak,düzenli,gelirim,False,DIGER
düzenli,kullanmak,istiyorum,gelirim,119000,False,DIGER
gelirim,istiyorum,düzenli,119000,USD,False,DIGER
119000,düzenli,gelirim,USD,<YOK>,True,GELIR
USD,gelirim,119000,<YOK>,<YOK>,False,DIGER
191500,<YOK>,<YOK>,USD,kredi,True,TUTAR
USD,<YOK>,191500,kredi,çekmeyi,False,DIGER
kredi,191500,USD,çekmeyi,düşünüyorum,False,DIGER
çekmeyi,USD,kredi,düşünüyorum,ve,False,DIGER
düşünüyorum,kredi,çekmeyi,ve,27500,False,DIGER
ve,çekmeyi,düşünüyorum,27500,euro,False,DIGER
27500,düşünüyorum,ve,euro,geliri,True,GELIR
euro,ve,27500,geliri,var,False,DIGER
geliri,27500,euro,var,ve,False,DIGER
var,euro,geliri,ve,aylık,False,DIGER
ve,geliri,var,aylık,masraflarım,False,DIGER
aylık,var,ve,masraflarım,49000,False,DIGER
masraflarım,ve,aylık,49000,TL,False,DIGER
49000,aylık,masraflarım,TL,ama,True,GIDER
TL,masraflarım,49000,ama,27,False,DIGER
ama,49000,TL,27,ay,False,DIGER
27,TL,ama,ay,vadeyle,True,VADE
ay,ama,27,vadeyle,<YOK>,False,DIGER
Giderim,<YOK>,<YOK>,ise,47000,False,DIGER
ise,<YOK>,Giderim,47000,TL,False,DIGER
47000,Giderim,ise,TL,talep,True,GIDER
TL,ise,47000,talep,ettiğim,False,DIGER
talep,47000,TL,ettiğim,tutar,False,DIGER
ettiğim,TL,talep,tutar,328500,False,DIGER
tutar,talep,ettiğim,328500,€,False,DIGER
328500,ettiğim,tutar,€,<YOK>,True,TUTAR
€,tutar,328500,<YOK>,<YOK>,False,DIGER
77500,<YOK>,Giderim,$,ve,True,GIDER
$,Giderim,77500,ve,44,False,DIGER
ve,77500,$,44,aylık,False,DIGER
44,$,ve,aylık,aylık,True,VADE
aylık,ve,44,aylık,gelirim,False,DIGER
aylık,44,aylık,gelirim,yaklaşık,False,DIGER
gelirim,aylık,aylık,yaklaşık,135500,False,DIGER
yaklaşık,aylık,gelirim,135500,TL,False,DIGER
135500,gelirim,yaklaşık,TL,<YOK>,True,GELIR
TL,yaklaşık,135500,<YOK>,<YOK>,False,DIGER
Net,<YOK>,<YOK>,gelirim,86000,False,DIGER
gelirim,<YOK>,Net,86000,euro,False,DIGER
86000,Net,gelirim,euro,25,True,GELIR
euro,gelirim,86000,25,ay,False,DIGER
25,86000,euro,ay,vadeli,True,VADE
ay,euro,25,vadeli,ve,False,DIGER
vadeli,25,ay,ve,386500,False,DIGER
ve,ay,vadeli,386500,TL,False,DIGER
386500,vadeli,ve,TL,kredi,True,TUTAR
TL,ve,386500,kredi,kullanmak,False,DIGER
kredi,386500,TL,kullanmak,istiyorum,False,DIGER
Ortalama,<YOK>,<YOK>,giderim,28500,False,DIGER
giderim,<YOK>,Ortalama,28500,TL,False,DIGER
28500,Ortalama,giderim,TL,ve,True,GIDER
TL,giderim,28500,ve,144500,False,DIGER
ve,28500,TL,144500,€,False,DIGER
144500,TL,ve,€,kredi,True,TUTAR
€,ve,144500,kredi,kullanmak,False,DIGER
kredi,144500,€,kullanmak,istiyorum,False,DIGER
73500,<YOK>,<YOK>,TL,maaş,True,GELIR
TL,<YOK>,73500,maaş,alıyorum,False,DIGER
maaş,73500,TL,alıyorum,ama,False,DIGER
alıyorum,TL,maaş,ama,26,False,DIGER
ama,maaş,alıyorum,26,ay,False,DIGER
26,alıyorum,ama,ay,vadeyle,True,VADE
ay,ama,26,vadeyle,<YOK>,False,DIGER
Aylık,<YOK>,<YOK>,giderlerim,73000,False,DIGER
giderlerim,<YOK>,Aylık,73000,dolar,False,DIGER
73000,Aylık,giderlerim,dolar,45,True,GIDER
dolar,giderlerim,73000,45,ay,False,DIGER
45,73000,dolar,ay,vadeyle,True,VADE
ay,dolar,45,vadeyle,ama,False,DIGER
vadeyle,45,ay,ama,161500,False,DIGER
ama,ay,vadeyle,161500,euro,False,DIGER
161500,vadeyle,ama,euro,taşıt,True,TUTAR
euro,ama,161500,taşıt,kredisi,False,DIGER
taşıt,161500,euro,kredisi,kullanmak,False,DIGER
131000,<YOK>,<YOK>,TL,konut,True,TUTAR
TL,<YOK>,131000,konut,kredisi,False,DIGER
konut,131000,TL,kredisi,istiyorum,False,DIGER
istiyorum,konut,kredisi,giderim,20500,False,DIGER
giderim,kredisi,istiyorum,20500,$,False,DIGER
20500,istiyorum,giderim,$,ama,True,GIDER
$,giderim,20500,ama,düzenli,False,DIGER
ama,20500,$,düzenli,gelirim,False,DIGER
düzenli,$,ama,gelirim,94500,False,DIGER
gelirim,ama,düzenli,94500,TL,False,DIGER
94500,düzenli,gelirim,TL,ve,True,GELIR
TL,gelirim,94500,ve,15,False,DIGER
ve,94500,TL,15,ay,False,DIGER
Gelirim,<YOK>,<YOK>,118000,€,False,DIGER
118000,<YOK>,Gelirim,€,ama,True,GELIR
€,Gelirim,118000,ama,düzenli,False,DIGER
ama,118000,€,düzenli,giderim,False,DIGER
düzenli,€,ama,giderim,19500,False,DIGER
giderim,ama,düzenli,19500,euro,False,DIGER
19500,düzenli,giderim,euro,ama,True,GIDER
euro,giderim,19500,ama,yaklaşık,False,DIGER
ama,19500,euro,yaklaşık,422500,False,DIGER
yaklaşık,euro,ama,422500,TL,False,DIGER
422500,ama,yaklaşık,TL,bir,True,TUTAR
TL,yaklaşık,422500,bir,kredi,False,DIGER
bir,422500,TL,kredi,istiyorum,False,DIGER
Aylık,<YOK>,<YOK>,41000,TL,False,DIGER
41000,<YOK>,Aylık,TL,kazanıyorum,True,GELIR
TL,Aylık,41000,kazanıyorum,vade,False,DIGER
kazanıyorum,41000,TL,vade,olarak,False,DIGER
vade,TL,kazanıyorum,olarak,3,False,DIGER
olarak,kazanıyorum,vade,3,ay,False,DIGER
ay,olarak,3,düşünüyorum,<YOK>,False,DIGER
düşünüyorum,3,ay,<YOK>,<YOK>,False,DIGER
ay,<YOK>,41,vadeyle,ortalama,False,DIGER
vadeyle,41,ay,ortalama,133500,False,DIGER
ortalama,ay,vadeyle,133500,dolar,False,DIGER
133500,vadeyle,ortalama,dolar,kazanç,True,GELIR
dolar,ortalama,133500,kazanç,sağlıyorum,False,DIGER
kazanç,133500,dolar,sağlıyorum,ortalama,False,DIGER
sağlıyorum,dolar,kazanç,ortalama,giderim,False,DIGER
ortalama,kazanç,sağlıyorum,giderim,13500,False,DIGER
giderim,sağlıyorum,ortalama,13500,$,False,DIGER
13500,ortalama,giderim,$,ve,True,GIDER
$,giderim,13500,ve,551000,False,DIGER
ve,13500,$,551000,TL,False,DIGER
551000,$,ve,TL,taşıt,True,TUTAR
TL,ve,551000,taşıt,kredisi,False,DIGER
taşıt,551000,TL,kredisi,kullanmak,False,DIGER
Giderim,<YOK>,<YOK>,ise,37500,False,DIGER
ise,<YOK>,Giderim,37500,TL,False,DIGER
37500,Giderim,ise,TL,ama,True,GIDER
TL,ise,37500,ama,511500,False,DIGER
ama,37500,TL,511500,TL,False,DIGER
511500,TL,ama,TL,konut,True,TUTAR
TL,ama,511500,konut,kredisi,False,DIGER
konut,511500,TL,kredisi,istiyorum,False,DIGER
141000,<YOK>,<YOK>,TL,konut,True,TUTAR
TL,<YOK>,141000,konut,kredisi,False,DIGER
konut,141000,TL,kredisi,istiyorum,False,DIGER
ama,kredisi,istiyorum,giderim,38500,False,DIGER
giderim,istiyorum,ama,38500,TL,False,DIGER
38500,ama,giderim,TL,ve,True,GIDER
TL,giderim,38500,ve,4,False,DIGER
ve,38500,TL,4,ay,False,DIGER
4,TL,ve,ay,vadeyle,True,VADE
ay,ve,4,vadeyle,ve,False,DIGER
vadeyle,4,ay,ve,gelirim,False,DIGER
ve,ay,vadeyle,gelirim,21000,False,DIGER
gelirim,vadeyle,ve,21000,$,False,DIGER
21000,ve,gelirim,$,<YOK>,True,GELIR
$,gelirim,21000,<YOK>,<YOK>,False,DIGER
43,<YOK>,<YOK>,ay,içinde,True,VADE
ay,<YOK>,43,içinde,ödemek,False,DIGER
istiyorum,içinde,ödemek,ve,maaşım,False,DIGER
ve,ödemek,istiyorum,maaşım,96000,False,DIGER
maaşım,istiyorum,ve,96000,$,False,DIGER
96000,ve,maaşım,$,ama,True,GELIR
$,maaşım,96000,ama,giderim,False,DIGER
ama,96000,$,giderim,69500,False,DIGER
giderim,$,ama,69500,$,False,DIGER
69500,ama,giderim,$,<YOK>,True,GIDER
$,giderim,69500,<YOK>,<YOK>,False,DIGER
Elime,<YOK>,<YOK>,103000,dolar,False,DIGER
103000,<YOK>,Elime,dolar,geçiyor,True,GELIR
dolar,Elime,103000,geçiyor,giderim,False,DIGER
geçiyor,103000,dolar,giderim,civarında,False,DIGER
giderim,dolar,geçiyor,civarında,35000,False,DIGER
civarında,geçiyor,giderim,35000,euro,False,DIGER
35000,giderim,civarında,euro,5,True,GIDER
euro,civarında,35000,5,ay,False,DIGER
5,35000,euro,ay,vade,True,VADE
ay,euro,5,vade,ile,False,DIGER
vade,5,ay,ile,352000,False,DIGER
ile,ay,vade,352000,TL,False,DIGER
352000,vade,ile,TL,kredi,True,TUTAR
TL,ile,352000,kredi,istiyorum,False,DIGER
kredi,352000,TL,istiyorum,<YOK>,False,DIGER
466500,<YOK>,<YOK>,TL,ihtiyaç,True,TUTAR
TL,<YOK>,466500,ihtiyaç,kredisi,False,DIGER
istiyorum,ihtiyaç,kredisi,aylık,gelirim,False,DIGER
aylık,kredisi,istiyorum,gelirim,yaklaşık,False,DIGER
gelirim,istiyorum,aylık,yaklaşık,103000,False,DIGER
yaklaşık,aylık,gelirim,103000,euro,False,DIGER
103000,gelirim,yaklaşık,euro,9,True,GELIR
euro,yaklaşık,103000,9,ay,False,DIGER
9,103000,euro,ay,vadeli,True,VADE
ay,euro,9,vadeli,<YOK>,False,DIGER
393000,<YOK>,<YOK>,euro,çekmek,True,TUTAR
euro,<YOK>,393000,çekmek,istiyorum,False,DIGER
çekmek,393000,euro,istiyorum,maaşım,False,DIGER
istiyorum,euro,çekmek,maaşım,80000,False,DIGER
maaşım,çekmek,istiyorum,80000,TL,False,DIGER
80000,istiyorum,maaşım,TL,ama,True,GELIR
TL,maaşım,80000,ama,59,False,DIGER
ama,80000,TL,59,ay,False,DIGER
59,TL,ama,ay,vadeli,True,VADE
ay,ama,59,vadeli,aylık,False,DIGER
vadeli,59,ay,aylık,giderlerim,False,DIGER
aylık,ay,vadeli,giderlerim,18500,False,DIGER
giderlerim,vadeli,aylık,18500,TL,False,DIGER
18500,aylık,giderlerim,TL,<YOK>,True,GIDER
TL,giderlerim,18500,<YOK>,<YOK>,False,DIGER
482000,<YOK>,<YOK>,TL,konut,True,TUTAR
TL,<YOK>,482000,konut,kredisi,False,DIGER
konut,482000,TL,kredisi,istiyorum,False,DIGER
kredisi,TL,konut,istiyorum,aylık,False,DIGER
aylık,kredisi,istiyorum,masraflarım,47500,False,DIGER
masraflarım,istiyorum,aylık,47500,dolar,False,DIGER
47500,aylık,masraflarım,dolar,ama,True,GIDER
dolar,masraflarım,47500,ama,15,False,DIGER
ama,47500,dolar,15,ay,False,DIGER
15,dolar,ama,ay,vade,True,VADE
ay,ama,15,vade,düşünüyorum,False,DIGER
vade,15,ay,düşünüyorum,<YOK>,False,DIGER
Giderim,<YOK>,<YOK>,19500,TL,False,DIGER
19500,<YOK>,Giderim,TL,ama,True,GIDER
TL,Giderim,19500,ama,gelirim,False,DIGER
ama,19500,TL,gelirim,ise,False,DIGER
gelirim,TL,ama,ise,74000,False,DIGER
ise,ama,gelirim,74000,USD,False,DIGER
74000,gelirim,ise,USD,485000,True,GELIR
USD,ise,74000,485000,TL,False,DIGER
485000,74000,USD,TL,çekmek,True,TUTAR
TL,USD,485000,çekmek,istiyorum,False,DIGER
çekmek,485000,TL,istiyorum,<YOK>,False,DIGER
Giderim,<YOK>,<YOK>,civarında,71500,False,DIGER
civarında,<YOK>,Giderim,71500,USD,False,DIGER
71500,Giderim,civarında,USD,79500,True,GIDER
USD,civarında,71500,79500,TL,False,DIGER
79500,71500,USD,TL,geliri,True,GELIR
TL,USD,79500,geliri,var,False,DIGER
geliri,79500,TL,var,39,False,DIGER
var,TL,geliri,39,ay,False,DIGER
39,geliri,var,ay,vadeli,True,VADE
ay,var,39,vadeli,<YOK>,False,DIGER
istiyorum,içinde,ödemek,ama,573000,False,DIGER
ama,ödemek,istiyorum,573000,USD,False,DIGER
573000,istiyorum,ama,USD,kredi,True,TUTAR
USD,ama,573000,kredi,çekmeyi,False,DIGER
kredi,573000,USD,çekmeyi,düşünüyorum,False,DIGER
Ortalama,<YOK>,<YOK>,giderim,69500,False,DIGER
giderim,<YOK>,Ortalama,69500,$,False,DIGER
69500,Ortalama,giderim,$,ama,True,GIDER
$,giderim,69500,ama,ortalama,False,DIGER
ama,69500,$,ortalama,79000,False,DIGER
ortalama,$,ama,79000,TL,False,DIGER
79000,ama,ortalama,TL,kazanç,True,GELIR
TL,ortalama,79000,kazanç,sağlıyorum,False,DIGER
kazanç,79000,TL,sağlıyorum,<YOK>,False,DIGER
ay,<YOK>,39,vade,ile,False,DIGER
vade,39,ay,ile,ve,False,DIGER
ile,ay,vade,ve,552500,False,DIGER
ve,vade,ile,552500,€,False,DIGER
552500,ile,ve,€,kredi,True,TUTAR
€,ve,552500,kredi,istiyorum,False,DIGER
kredi,552500,€,istiyorum,<YOK>,False,DIGER
Elime,<YOK>,<YOK>,65500,dolar,False,DIGER
65500,<YOK>,Elime,dolar,geçiyor,True,GELIR
dolar,Elime,65500,geçiyor,aylık,False,DIGER
geçiyor,65500,dolar,aylık,masraflarım,False,DIGER
aylık,dolar,geçiyor,masraflarım,18500,False,DIGER
masraflarım,geçiyor,aylık,18500,TL,False,DIGER
18500,aylık,masraflarım,TL,ve,True,GIDER
TL,masraflarım,18500,ve,574000,False,DIGER
ve,18500,TL,574000,TL,False,DIGER
574000,TL,ve,TL,kredi,True,TUTAR
TL,ve,574000,kredi,istiyorum,False,DIGER
kredi,574000,TL,istiyorum,<YOK>,False,DIGER
Elime,<YOK>,<YOK>,42500,dolar,False,DIGER
42500,<YOK>,Elime,dolar,geçiyor,True,GELIR
dolar,Elime,42500,geçiyor,düzenli,False,DIGER
geçiyor,42500,dolar,düzenli,giderim,False,DIGER
düzenli,dolar,geçiyor,giderim,35500,False,DIGER
giderim,geçiyor,düzenli,35500,TL,False,DIGER
35500,düzenli,giderim,TL,44,True,GIDER
TL,giderim,35500,44,ay,False,DIGER
44,35500,TL,ay,vadeli,True,VADE
102000,<YOK>,<YOK>,USD,çekmek,True,TUTAR
USD,<YOK>,102000,çekmek,istiyorum,False,DIGER
çekmek,102000,USD,istiyorum,11,False,DIGER
istiyorum,USD,çekmek,11,ay,False,DIGER
toplam,istiyorum,ama,gelirim,85000,False,DIGER
gelirim,ama,toplam,85000,euro,False,DIGER
85000,toplam,gelirim,euro,civarında,True,GELIR
euro,gelirim,85000,civarında,<YOK>,False,DIGER
civarında,85000,euro,<YOK>,<YOK>,False,DIGER
244500,<YOK>,<YOK>,dolar,çekmek,True,TUTAR
dolar,<YOK>,244500,çekmek,istiyorum,False,DIGER
